date,time,temperature,humidity,ventilation,light_intensity,ph,disease growth possibility level
7/10/2018,14:30,15.64,64,high,medium,8.4,Low
7/10/2018,17:40,5.64,55,high,low,8.4,Low
7/11/2018,8:30,16.08,52,high,medium,8.7,Low
7/11/2018,11:40,9.05,91,low,low,8.2,Moderate
7/11/2018,14:30,12.34,58,high,medium,8.6,Low
7/11/2018,17:40,16.57,53,high,medium,8.2,Low
7/12/2018,8:30,12.49,55,high,medium,8.4,Low
7/12/2018,11:40,20.64,81,low,high,6.1,High
7/12/2018,14:30,15,60,high,medium,8.4,Low
7/12/2018,17:40,21.77,94,medium,high,6.2,High
7/13/2018,8:30,6.55,70,high,low,8.9,Moderate
7/13/2018,11:40,26.44,51,medium,high,5.6,Moderate
7/13/2018,14:30,12.88,77,low,medium,8.6,Moderate
7/13/2018,17:40,6.61,59,high,low,8.7,Low
7/14/2018,8:30,23.86,72,low,high,5,High
7/14/2018,11:40,30.03,59,low,high,6,Moderate
7/14/2018,14:30,12.27,58,high,medium,8.4,Low
7/14/2018,17:40,8.79,74,medium,low,8.4,Moderate
7/15/2018,8:30,6.27,65,high,low,9,Low
7/15/2018,11:40,5.77,60,high,low,8.2,Low
7/15/2018,14:30,11.09,53,high,low,8.8,Low
7/15/2018,17:40,15,50,high,medium,8.3,Low
7/16/2018,8:30,14.85,50,high,medium,8.6,Low
7/16/2018,11:40,12.53,56,high,medium,8.5,Low
7/16/2018,14:30,12.8,66,high,medium,8.1,Low
7/16/2018,17:40,6.52,69,high,low,8,Low
7/17/2018,8:30,6.5,51,high,low,8.9,Low
7/17/2018,11:40,16.47,51,high,medium,8.1,Low
7/17/2018,14:30,12.32,54,high,medium,8,Low
7/17/2018,17:40,13.4,53,high,medium,8.7,Low
7/18/2018,8:30,11.06,50,high,low,8.6,Low
7/18/2018,11:40,15.67,58,high,medium,8.8,Low
7/18/2018,14:30,12.27,65,high,medium,8.1,Low
7/18/2018,17:40,14.47,69,high,medium,8.9,Low
7/19/2018,8:30,9.68,54,high,low,8.9,Low
7/19/2018,11:40,27.36,91,low,high,6.3,High
7/19/2018,14:30,8.67,56,high,low,8.5,Low
7/19/2018,17:40,19.08,64,low,medium,6,Moderate
7/20/2018,8:30,9.98,63,high,low,8.2,Low
7/20/2018,11:40,9.63,79,high,low,8.3,Moderate
7/20/2018,14:30,7.67,99,medium,low,8.9,Moderate
7/20/2018,17:40,25.24,71,low,high,7,High
7/21/2018,8:30,6.23,59,high,low,8.5,Low
7/21/2018,11:40,8.07,62,high,low,8.8,Low
7/21/2018,14:30,20,89,high,medium,6.8,High
7/21/2018,17:40,27.16,55,high,high,6.4,Moderate
7/22/2018,8:30,6.85,99,high,low,8.3,Moderate
7/22/2018,11:40,19.74,52,high,medium,6.4,Moderate
7/22/2018,14:30,13.41,63,high,medium,8.1,Low
7/22/2018,17:40,14.55,70,high,medium,8.7,Moderate
7/23/2018,8:30,15.03,97,high,medium,8.8,Moderate
7/23/2018,11:40,18.51,96,low,medium,6.9,High
7/23/2018,14:30,22.28,81,low,high,6.8,High
7/23/2018,17:40,15.01,92,low,medium,8.2,Moderate
7/24/2018,8:30,9.9,58,high,low,8.1,Low
7/24/2018,11:40,6.71,54,high,low,8.2,Low
7/24/2018,14:30,21,73,medium,high,6.7,High
7/24/2018,17:40,7.25,58,high,low,8.4,Low
7/25/2018,8:30,11.15,68,high,low,8,Low
7/25/2018,11:40,13.88,70,high,medium,8.1,Moderate
7/25/2018,14:30,23.14,95,medium,high,5.7,High
7/25/2018,17:40,12.53,84,high,medium,8.9,Moderate
7/26/2018,8:30,31.57,63,low,high,5.4,Moderate
7/26/2018,11:40,13.33,53,high,medium,8.2,Low
7/26/2018,14:30,13.48,63,high,medium,8.9,Low
7/26/2018,17:40,14.04,64,high,medium,9,Low
7/27/2018,8:30,5.54,65,high,low,8.3,Low
7/27/2018,11:40,29.42,62,low,high,6.1,Moderate
7/27/2018,14:30,18.23,94,low,medium,6.5,High
7/27/2018,17:40,12.67,63,high,medium,8.9,Low
7/28/2018,8:30,11.39,62,high,low,8.4,Low
7/28/2018,11:40,27.58,71,low,high,5.8,High
7/28/2018,14:30,21.71,69,high,high,6.8,Moderate
7/28/2018,17:40,7.48,58,high,low,8.6,Low
7/29/2018,8:30,32.99,93,low,high,6.9,High
7/29/2018,11:40,10.69,72,low,low,8.7,Moderate
7/29/2018,14:30,14.65,61,high,medium,8.2,Low
7/29/2018,17:40,15.04,56,high,medium,8.9,Low
7/30/2018,8:30,14.26,68,high,medium,8.1,Low
7/30/2018,11:40,13.4,63,high,medium,8.4,Low
7/30/2018,14:30,8.43,99,medium,low,8.6,Moderate
7/30/2018,17:40,15.81,59,high,medium,8.2,Low
7/31/2018,8:30,33.53,58,medium,high,5.5,Moderate
7/31/2018,11:40,9.08,65,high,low,8.2,Low
7/31/2018,14:30,15.71,50,high,medium,8.5,Low
7/31/2018,17:40,18.3,56,low,medium,5.7,Moderate
8/1/2018,8:30,32.14,76,high,high,5.2,High
8/1/2018,11:40,30.05,51,high,high,6.5,Moderate
8/1/2018,14:30,15.94,70,high,medium,8.4,Moderate
8/1/2018,17:40,29,58,medium,high,6.5,Moderate
8/2/2018,8:30,13.56,72,medium,medium,8.7,Moderate
8/2/2018,11:40,9.3,64,high,low,8.5,Low
8/2/2018,14:30,25.97,94,low,high,5.9,High
8/2/2018,17:40,5.05,53,high,low,8.2,Low
8/3/2018,8:30,16.6,54,high,medium,8.5,Low
8/3/2018,11:40,8.65,72,medium,low,8.6,Moderate
8/3/2018,14:30,12.75,55,high,medium,8.3,Low
8/3/2018,17:40,30.46,91,high,high,5.3,High
8/4/2018,8:30,21.79,65,high,high,6.4,Moderate
8/4/2018,11:40,9.52,61,high,low,8.8,Low
8/4/2018,14:30,15.69,68,high,medium,8.1,Low
8/4/2018,17:40,20.73,61,medium,high,6.5,Moderate
8/5/2018,8:30,14.65,57,high,medium,8.9,Low
8/5/2018,11:40,9.1,67,high,low,8.5,Low
8/5/2018,14:30,22.41,95,low,high,5.9,High
8/5/2018,17:40,25.57,86,low,high,5.4,High
8/6/2018,8:30,8.99,57,high,low,8.1,Low
8/6/2018,11:40,19.12,97,high,medium,5.7,High
8/6/2018,14:30,10.32,80,low,low,8.7,Moderate
8/6/2018,17:40,28.77,55,medium,high,6.5,Moderate
8/7/2018,8:30,24.77,85,medium,high,6,High
8/7/2018,11:40,29.9,60,low,high,6.4,Moderate
8/7/2018,14:30,15.19,64,high,medium,8.1,Low
8/7/2018,17:40,28.07,85,low,high,6.5,High
8/8/2018,8:30,6.95,59,high,low,8.6,Low
8/8/2018,11:40,18.33,88,medium,medium,5.3,High
8/8/2018,14:30,23.97,98,medium,high,6.7,High
8/8/2018,17:40,28.57,85,high,high,5.2,High
8/9/2018,8:30,32.14,58,medium,high,6.4,Moderate
8/9/2018,11:40,6.83,61,high,low,8.4,Low
8/9/2018,14:30,7.88,61,high,low,8.3,Low
8/9/2018,17:40,25.04,66,medium,high,6.6,Moderate
8/10/2018,8:30,7.33,70,high,low,8.5,Moderate
8/10/2018,11:40,9.77,56,high,low,8.2,Low
8/10/2018,14:30,24.59,73,medium,high,6.5,High
8/10/2018,17:40,22.34,67,high,high,6.6,Moderate
8/11/2018,8:30,13.3,58,high,medium,8.2,Low
8/11/2018,11:40,5.24,59,high,low,8.1,Low
8/11/2018,14:30,10.07,65,high,low,8.3,Low
8/11/2018,17:40,18.22,57,medium,medium,5.3,Moderate
8/12/2018,8:30,9.17,66,high,low,8.7,Low
8/12/2018,11:40,34.34,56,medium,high,6.8,Moderate
8/12/2018,14:30,12.66,76,low,medium,8.9,Moderate
8/12/2018,17:40,9.76,92,high,low,8.2,Moderate
8/13/2018,8:30,16.02,83,low,medium,8.5,Moderate
8/13/2018,11:40,21.97,56,high,high,5.4,Moderate
8/13/2018,14:30,15.58,95,low,medium,8.3,Moderate
8/13/2018,17:40,14.02,63,high,medium,8.3,Low
8/14/2018,8:30,10.76,86,medium,low,8.6,Moderate
8/14/2018,11:40,10.47,67,high,low,8.5,Low
8/14/2018,14:30,16.33,51,high,medium,8.2,Low
8/14/2018,17:40,8.7,83,low,low,8.1,Moderate
8/15/2018,8:30,10.34,80,medium,low,8.9,Moderate
8/15/2018,11:40,9.75,54,high,low,9,Low
8/15/2018,14:30,25.9,50,low,high,5.1,Moderate
8/15/2018,17:40,8.88,63,high,low,8.8,Low
8/16/2018,8:30,9.42,97,medium,low,8.6,Moderate
8/16/2018,11:40,8.36,55,high,low,8.5,Low
8/16/2018,14:30,21.31,62,medium,high,5.2,Moderate
8/16/2018,17:40,30.82,71,high,high,5.5,High
8/17/2018,8:30,11.61,66,high,low,8.4,Low
8/17/2018,11:40,8.5,50,high,low,8.7,Low
8/17/2018,14:30,7.62,58,high,low,8.2,Low
8/17/2018,17:40,21.06,66,medium,high,5.7,Moderate
8/18/2018,8:30,5.62,63,high,low,8.6,Low
8/18/2018,11:40,25.19,52,medium,high,6.9,Moderate
8/18/2018,14:30,8.41,60,high,low,8,Low
8/18/2018,17:40,33.42,52,high,high,6.8,Moderate
8/19/2018,8:30,24.39,91,medium,high,5.7,High
8/19/2018,11:40,6.07,53,high,low,8.4,Low
8/19/2018,14:30,20.61,71,low,high,6.1,High
8/19/2018,17:40,30.61,100,high,high,6.2,High
8/20/2018,8:30,27,72,low,high,5.6,High
8/20/2018,11:40,31.92,61,low,high,6.1,Moderate
8/20/2018,14:30,27.38,67,low,high,5.5,Moderate
8/20/2018,17:40,16.59,67,high,medium,8.1,Low
8/21/2018,8:30,16.32,96,low,medium,8.2,Moderate
8/21/2018,11:40,15.07,78,low,medium,8.6,Moderate
8/21/2018,14:30,21.06,66,low,high,7,Moderate
8/21/2018,17:40,7.16,73,low,low,8.8,Moderate
8/22/2018,8:30,9.94,74,low,low,8.5,Moderate
8/22/2018,11:40,9.44,94,low,low,8.5,Moderate
8/22/2018,14:30,22.01,53,high,high,6.5,Moderate
8/22/2018,17:40,16.97,52,high,medium,8.9,Low
8/23/2018,8:30,12.82,65,high,medium,8.5,Low
8/23/2018,11:40,20.77,55,medium,high,5.9,Moderate
8/23/2018,14:30,32.59,55,low,high,5,Moderate
8/23/2018,17:40,6.63,70,high,low,8.8,Moderate
8/24/2018,8:30,9.43,54,high,low,8.5,Low
8/24/2018,11:40,16.17,87,low,medium,8.7,Moderate
8/24/2018,14:30,29.92,57,high,high,5.8,Moderate
8/24/2018,17:40,9.82,51,high,low,8.7,Low
8/25/2018,8:30,9.17,70,high,low,8.8,Moderate
8/25/2018,11:40,34.52,92,low,high,6.3,High
8/25/2018,14:30,14.04,63,high,medium,8.6,Low
8/25/2018,17:40,29.92,52,low,high,6.8,Moderate
8/26/2018,8:30,6.24,64,high,low,8.2,Low
8/26/2018,11:40,8.63,65,high,low,8,Low
8/26/2018,14:30,19.22,98,low,medium,5.6,High
8/26/2018,17:40,33.62,51,high,high,5.2,Moderate
8/27/2018,8:30,15.86,55,high,medium,8.5,Low
8/27/2018,11:40,5.07,59,high,low,8.8,Low
8/27/2018,14:30,25.64,74,medium,high,5.4,High
8/27/2018,17:40,8.89,53,high,low,8.9,Low
8/28/2018,8:30,26.84,90,low,high,5.7,High
8/28/2018,11:40,7.97,83,low,low,8.5,Moderate
8/28/2018,14:30,8.51,74,medium,low,8.7,Moderate
8/28/2018,17:40,19.29,57,medium,medium,5.9,Moderate
8/29/2018,8:30,15.67,78,low,medium,8.2,Moderate
8/29/2018,11:40,26.17,51,high,high,6.1,Moderate
8/29/2018,14:30,14.71,92,low,medium,8.5,Moderate
8/29/2018,17:40,7.21,67,high,low,8.9,Low
8/30/2018,8:30,11.04,72,medium,low,8.4,Moderate
8/30/2018,11:40,8.97,76,high,low,8.2,Moderate
8/30/2018,14:30,24.66,56,low,high,5,Moderate
8/30/2018,17:40,19.78,84,high,medium,6.6,High
8/31/2018,8:30,10.63,58,high,low,8.6,Low
8/31/2018,11:40,7.49,68,high,low,8.1,Low
8/31/2018,14:30,10.96,69,high,low,8.6,Low
8/31/2018,17:40,25.29,78,low,high,5.5,High
9/1/2018,8:30,25.91,86,low,high,6.2,High
9/1/2018,11:40,22.25,75,low,high,6.7,High
9/1/2018,14:30,16.15,63,high,medium,8.8,Low
9/1/2018,17:40,16.94,62,high,medium,8.8,Low
9/2/2018,8:30,10.97,62,high,low,8.2,Low
9/2/2018,11:40,12.54,64,high,medium,9,Low
9/2/2018,14:30,14.4,50,high,medium,8.3,Low
9/2/2018,17:40,12.02,50,high,medium,8.6,Low
9/3/2018,8:30,10,59,high,low,8.3,Low
9/3/2018,11:40,5.32,51,high,low,8.7,Low
9/3/2018,14:30,11.32,68,high,low,8.9,Low
9/3/2018,17:40,5.21,60,high,low,9,Low
9/4/2018,8:30,11.35,58,high,low,8.3,Low
9/4/2018,11:40,15.62,70,high,medium,8.1,Moderate
9/4/2018,14:30,20.32,100,low,high,6.9,High
9/4/2018,17:40,23.68,69,medium,high,6,Moderate
9/5/2018,8:30,33.66,52,medium,high,5.6,Moderate
9/5/2018,11:40,8.46,67,high,low,8.8,Low
9/5/2018,14:30,9.61,69,high,low,8.3,Low
9/5/2018,17:40,22.38,85,low,high,5.7,High
9/6/2018,8:30,27.13,75,medium,high,5.5,High
9/6/2018,11:40,12.62,56,high,medium,8.9,Low
9/6/2018,14:30,9.03,52,high,low,8.3,Low
9/6/2018,17:40,11.78,51,high,low,8,Low
9/7/2018,8:30,8.34,61,high,low,8.3,Low
9/7/2018,11:40,34.24,93,high,high,6.5,High
9/7/2018,14:30,13,50,high,medium,8.1,Low
9/7/2018,17:40,9.98,57,high,low,8.7,Low
9/8/2018,8:30,12.48,67,high,medium,8.4,Low
9/8/2018,11:40,26.67,96,medium,high,5.3,High
9/8/2018,14:30,22.6,52,low,high,5.6,Moderate
9/8/2018,17:40,11.44,65,high,low,8.8,Low
9/9/2018,8:30,18.35,60,high,medium,5.8,Moderate
9/9/2018,11:40,6.02,59,high,low,8.5,Low
9/9/2018,14:30,31.37,72,low,high,6.2,High
9/9/2018,17:40,14.47,70,high,medium,8.9,Moderate
9/10/2018,8:30,6.61,64,high,low,8.8,Low
9/10/2018,11:40,30.81,93,high,high,6.4,High
9/10/2018,14:30,28.7,53,low,high,5.7,Moderate
9/10/2018,17:40,11.08,88,high,low,8.2,Moderate
9/11/2018,8:30,10.29,58,high,low,8.6,Low
9/11/2018,11:40,15.58,60,high,medium,8,Low
9/11/2018,14:30,27.16,52,medium,high,5.1,Moderate
9/11/2018,17:40,11.98,62,high,low,8.8,Low
9/12/2018,8:30,29.15,82,medium,high,5.3,High
9/12/2018,11:40,13.16,69,high,medium,8.4,Low
9/12/2018,14:30,16.68,70,high,medium,8.4,Moderate
9/12/2018,17:40,9.53,87,low,low,8.3,Moderate
9/13/2018,8:30,31.42,61,high,high,5.7,Moderate
9/13/2018,11:40,9.41,83,low,low,8.8,Moderate
9/13/2018,14:30,16.6,80,low,medium,9,Moderate
9/13/2018,17:40,5.32,59,high,low,8.7,Low
9/14/2018,8:30,8.28,68,high,low,8.8,Low
9/14/2018,11:40,11.13,62,high,low,8.7,Low
9/14/2018,14:30,28.74,93,low,high,5.9,High
9/14/2018,17:40,15.43,61,high,medium,8.7,Low
9/15/2018,8:30,15.4,86,medium,medium,8.1,Moderate
9/15/2018,11:40,26.46,59,medium,high,6.3,Moderate
9/15/2018,14:30,33.57,74,low,high,5.9,High
9/15/2018,17:40,15.04,61,high,medium,8.4,Low
9/16/2018,8:30,8.46,98,low,low,8.3,Moderate
9/16/2018,11:40,23.67,75,medium,high,5.6,High
9/16/2018,14:30,15.17,60,high,medium,8.3,Low
9/16/2018,17:40,12.49,54,high,medium,8.4,Low
9/17/2018,8:30,29.27,58,low,high,6.3,Moderate
9/17/2018,11:40,29.81,80,medium,high,6.3,High
9/17/2018,14:30,32.88,96,low,high,6.9,High
9/17/2018,17:40,15.68,59,high,medium,9,Low
9/18/2018,8:30,7.92,83,medium,low,9,Moderate
9/18/2018,11:40,16.63,57,high,medium,8.9,Low
9/18/2018,14:30,16.58,61,high,medium,8.1,Low
9/18/2018,17:40,16.17,69,high,medium,8.8,Low
9/19/2018,8:30,33.59,62,high,high,5.7,Moderate
9/19/2018,11:40,24.83,73,high,high,5.5,High
9/19/2018,14:30,29.94,71,low,high,6.2,High
9/19/2018,17:40,31.62,70,low,high,6.8,High
9/20/2018,8:30,8.25,61,high,low,8.8,Low
9/20/2018,11:40,18.81,96,low,medium,5.7,High
9/20/2018,14:30,16.92,62,high,medium,8.4,Low
9/20/2018,17:40,12.44,73,low,medium,8.3,Moderate
9/21/2018,8:30,32.37,68,medium,high,6.2,Moderate
9/21/2018,11:40,8.76,63,high,low,8,Low
